p_brand,p_type,p_size,supplier_count
Brand#15,ECONOMY ANODIZED STEEL,49,4
Brand#15,ECONOMY ANODIZED TIN,3,4
Brand#15,ECONOMY ANODIZED TIN,14,4
Brand#15,ECONOMY ANODIZED TIN,23,4
Brand#15,ECONOMY ANODIZED TIN,45,4
Brand#15,ECONOMY ANODIZED TIN,49,4
Brand#15,ECONOMY BRUSHED BRASS,9,4
Brand#15,ECONOMY BRUSHED BRASS,14,4
Brand#15,ECONOMY BRUSHED BRASS,36,4
Brand#15,ECONOMY BRUSHED BRASS,45,4
Brand#15,ECONOMY BRUSHED BRASS,49,4
Brand#15,ECONOMY BRUSHED COPPER,14,4
Brand#15,ECONOMY BRUSHED COPPER,19,4
Brand#15,ECONOMY BRUSHED COPPER,45,4
Brand#15,ECONOMY BRUSHED COPPER,49,4
Brand#15,ECONOMY BRUSHED NICKEL,19,4
Brand#15,ECONOMY BRUSHED STEEL,3,4
Brand#15,ECONOMY BRUSHED STEEL,14,4
Brand#15,ECONOMY BRUSHED TIN,3,4
Brand#15,ECONOMY BRUSHED TIN,19,4
Brand#15,ECONOMY BRUSHED TIN,23,4
Brand#15,ECONOMY BRUSHED TIN,45,4
Brand#15,ECONOMY BURNISHED BRASS,23,4
Brand#15,ECONOMY BURNISHED COPPER,3,4
Brand#15,ECONOMY BURNISHED NICKEL,3,4
Brand#15,ECONOMY BURNISHED NICKEL,45,4
Brand#15,ECONOMY BURNISHED STEEL,14,4
Brand#15,ECONOMY BURNISHED STEEL,23,4
Brand#15,ECONOMY BURNISHED STEEL,36,4
Brand#15,ECONOMY BURNISHED TIN,3,4
Brand#15,ECONOMY BURNISHED TIN,14,4
Brand#15,ECONOMY BURNISHED TIN,19,4
Brand#15,ECONOMY BURNISHED TIN,36,4
Brand#15,ECONOMY PLATED BRASS,9,4
Brand#15,ECONOMY PLATED BRASS,19,4
Brand#15,ECONOMY PLATED BRASS,23,4
Brand#15,ECONOMY PLATED BRASS,45,4
Brand#15,ECONOMY PLATED BRASS,49,4
Brand#15,ECONOMY PLATED COPPER,14,4
Brand#15,ECONOMY PLATED COPPER,19,4
Brand#15,ECONOMY PLATED NICKEL,3,4
Brand#15,ECONOMY PLATED NICKEL,23,4
Brand#15,ECONOMY PLATED NICKEL,49,4
Brand#15,ECONOMY PLATED STEEL,9,4
Brand#15,ECONOMY PLATED STEEL,23,4
Brand#15,ECONOMY PLATED STEEL,36,4
Brand#15,ECONOMY PLATED STEEL,45,4
Brand#15,ECONOMY PLATED STEEL,49,4
Brand#15,ECONOMY PLATED TIN,3,4
Brand#15,ECONOMY PLATED TIN,19,4
Brand#15,ECONOMY PLATED TIN,23,4
Brand#15,ECONOMY PLATED TIN,36,4
Brand#15,ECONOMY PLATED TIN,45,4
Brand#15,ECONOMY PLATED TIN,49,4
Brand#15,ECONOMY POLISHED BRASS,9,4
Brand#15,ECONOMY POLISHED BRASS,23,4
Brand#15,ECONOMY POLISHED BRASS,45,4
Brand#15,ECONOMY POLISHED BRASS,49,4
Brand#15,ECONOMY POLISHED COPPER,14,4
Brand#15,ECONOMY POLISHED COPPER,19,4
Brand#15,ECONOMY POLISHED COPPER,23,4
Brand#15,ECONOMY POLISHED NICKEL,23,4
Brand#15,ECONOMY POLISHED STEEL,14,4
Brand#15,ECONOMY POLISHED STEEL,45,4
Brand#15,ECONOMY POLISHED TIN,19,4
Brand#15,ECONOMY POLISHED TIN,45,4
Brand#15,ECONOMY POLISHED TIN,49,4
Brand#15,LARGE ANODIZED BRASS,23,4
Brand#15,LARGE ANODIZED BRASS,45,4
Brand#15,LARGE ANODIZED BRASS,49,4
Brand#15,LARGE ANODIZED COPPER,3,4
Brand#15,LARGE ANODIZED COPPER,9,4
Brand#15,LARGE ANODIZED NICKEL,9,4
Brand#15,LARGE ANODIZED NICKEL,45,4
Brand#15,LARGE ANODIZED STEEL,9,4
Brand#15,LARGE ANODIZED STEEL,36,4
Brand#15,LARGE ANODIZED STEEL,49,4
Brand#15,LARGE ANODIZED TIN,3,4
Brand#15,LARGE ANODIZED TIN,9,4
Brand#15,LARGE ANODIZED TIN,19,4
Brand#15,LARGE ANODIZED TIN,45,4
Brand#15,LARGE ANODIZED TIN,49,4
Brand#15,LARGE BRUSHED BRASS,3,4
Brand#15,LARGE BRUSHED COPPER,23,4
Brand#15,LARGE BRUSHED COPPER,49,4
Brand#15,LARGE BRUSHED NICKEL,3,4
Brand#15,LARGE BRUSHED NICKEL,14,4
Brand#15,LARGE BRUSHED NICKEL,23,4
Brand#15,LARGE BRUSHED NICKEL,36,4
Brand#15,LARGE BRUSHED STEEL,3,4
Brand#15,LARGE BRUSHED STEEL,9,4
Brand#15,LARGE BRUSHED STEEL,36,4
Brand#15,LARGE BRUSHED STEEL,49,4
Brand#15,LARGE BRUSHED TIN,14,4
Brand#15,LARGE BRUSHED TIN,45,4
Brand#15,LARGE BURNISHED BRASS,49,4
Brand#15,LARGE BURNISHED COPPER,3,4
Brand#15,LARGE BURNISHED COPPER,14,4
